matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,19/set/2020,16,Fiorentina,15,Torino,1:0,Available,0,0,0,False,False,False,,,90,True,False,6.0,6.0,0,0,True,False,4,False
2,26/set/2020,12,Torino,2,Atalanta,2:4,Available,2,0,0,False,False,False,,,90,True,True,13.5,7.5,0,0,True,False,4,True
3,04/nov/2020,13,Genoa,16,Torino,1:2,Available,0,1,0,False,False,False,,,90,True,False,6.0,,0,0,False,True,3,False
4,18/ott/2020,13,Torino,18,Cagliari,2:3,Available,2,0,0,False,False,False,,,90,True,True,14.0,8.0,1,1,True,False,3,True
5,23/ott/2020,2,Sassuolo,17,Torino,3:3,Available,1,1,0,False,False,False,,,90,True,False,11.0,7.0,0,0,True,False,4,True
6,01/nov/2020,15,Torino,12,Lazio,3:4,Available,1,0,0,False,False,False,,76,76,True,True,9.5,6.5,1,1,True,False,4,True
7,08/nov/2020,18,Torino,20,Crotone,0:0,Available,0,0,0,True,False,False,,,90,True,True,6.0,6.5,0,0,True,False,3,False
8,22/nov/2020,7,Inter,17,Torino,4:2,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
9,30/nov/2020,18,Torino,10,Sampdoria,2:2,Available,1,0,0,False,False,False,,,90,True,True,10.0,7.0,0,0,True,False,4,True
10,05/dic/2020,5,Juventus,18,Torino,2:1,Available,0,0,0,False,False,False,,,90,True,False,7.0,7.0,0,0,True,False,5,True
11,12/dic/2020,18,Torino,13,Udinese,2:3,Available,1,1,0,False,False,False,,,90,True,True,10.5,6.5,0,0,True,False,3,True
12,17/dic/2020,6,Roma,18,Torino,3:1,Available,1,0,0,False,False,False,,,90,True,False,9.5,6.5,0,0,True,False,5,True
13,20/dic/2020,19,Torino,13,Bologna,1:1,Available,0,0,0,False,False,False,,,90,True,True,6.5,6.5,0,0,True,False,3,False
14,23/dic/2020,4,Napoli,18,Torino,1:1,Available,0,0,0,False,False,False,,88,88,True,False,7.0,7.0,0,0,True,False,5,False
15,03/gen/2021,16,Parma,20,Torino,0:3,Available,0,2,0,False,False,False,,,90,True,False,9.5,7.5,0,0,True,False,3,True
16,06/gen/2021,17,Torino,8,Verona,1:1,Available,0,0,0,True,False,False,,,90,True,True,5.0,5.5,0,0,True,False,4,False
17,09/gen/2021,1,Milan,17,Torino,2:0,Available,0,0,0,False,False,False,,86,86,True,False,5.5,5.5,0,0,True,False,5,False
18,16/gen/2021,18,Torino,15,Spezia,0:0,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,3,False
19,22/gen/2021,11,Benevento,18,Torino,2:2,Available,0,1,0,False,False,False,,,90,True,False,7.5,6.5,0,0,True,False,4,False
20,29/gen/2021,17,Torino,12,Fiorentina,1:1,Available,1,0,0,True,False,False,,,90,True,True,9.0,6.5,0,0,True,False,3,True
21,06/feb/2021,7,Atalanta,17,Torino,3:3,Available,1,0,0,False,False,False,,,90,True,False,7.0,7.0,0,1,True,False,5,True
22,13/feb/2021,17,Torino,12,Genoa,0:0,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,3,False
23,19/feb/2021,18,Cagliari,17,Torino,0:1,Available,0,0,0,True,False,False,,,90,True,False,5.0,5.5,0,0,True,False,3,False
24,17/mar/2021,17,Torino,8,Sassuolo,3:2,Available,0,0,0,False,False,False,,88,88,True,True,6.0,,0,0,False,True,4,False
26,07/mar/2021,20,Crotone,17,Torino,4:2,Coronavirus,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
27,14/mar/2021,17,Torino,1,Inter,1:2,Available,0,0,0,False,False,False,89,,1,True,True,,,0,0,False,False,5,False
28,21/mar/2021,11,Sampdoria,17,Torino,1:0,Available,0,0,0,False,False,False,,,90,True,False,5.5,5.5,0,0,True,False,4,False
29,03/apr/2021,17,Torino,3,Juventus,2:2,Available,0,0,0,False,False,False,,72,72,True,True,6.0,6.0,0,0,True,False,5,False
30,10/apr/2021,12,Udinese,17,Torino,0:1,Available,1,0,0,False,False,False,,,90,True,False,10.0,7.0,1,1,True,False,4,True
