matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,6-7,False,False,False,False,True,True,46-90,2,True
2,>=9.5,True,False,False,False,True,True,46-90,3,True
3,>=9.5,True,True,False,False,True,True,46-90,2,True
4,>=9.5,True,False,False,False,True,True,46-90,3,True
5,6-7,False,True,True,False,True,True,46-90,2,False
6,sv,False,False,False,False,False,False,0-15,4,False
7,<=5.5,False,False,False,False,True,True,46-90,2,False
8,>=9.5,True,True,False,False,True,True,46-90,3,True
9,<=5.5,False,False,False,False,True,True,46-90,4,False
10,6-7,False,False,False,False,True,True,46-90,4,False
11,>=9.5,True,False,True,False,True,True,46-90,2,True
12,6-7,False,True,True,False,True,True,46-90,3,True
13,>=9.5,True,False,True,False,True,True,46-90,4,True
14,>=9.5,True,False,False,False,True,True,46-90,3,True
15,<=5.5,False,False,False,False,True,True,46-90,4,False
16,6-7,False,False,False,False,True,True,16-45,2,True
17,sv,False,False,False,False,False,False,0-15,4,False
18,sv,False,False,False,False,False,False,0-15,2,False
19,sv,False,False,False,False,False,False,0-15,4,False
20,sv,False,False,False,False,False,False,0-15,2,False
21,6-7,False,False,False,False,True,False,16-45,2,True
22,>=9.5,True,False,False,False,True,True,46-90,2,True
23,6-7,False,False,False,False,True,True,46-90,2,True
25,>=9.5,True,True,False,False,True,True,46-90,3,True
26,6-7,False,False,False,False,True,True,46-90,3,True
27,6-7,False,False,False,False,True,True,46-90,3,False
29,sv,False,False,False,False,False,False,0-15,3,False
