matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
2,6-7,False,False,False,False,True,False,16-45,2,False
3,sv,False,False,False,False,False,False,0-15,3,False
4,<=5.5,False,False,True,False,True,True,46-90,3,False
5,sv,False,False,False,False,False,False,0-15,2,False
6,>=9.5,True,False,True,False,True,False,16-45,2,True
7,>=9.5,True,False,False,False,True,False,16-45,3,True
8,6-7,False,False,False,False,True,False,16-45,2,True
9,<=5.5,False,False,False,False,True,False,16-45,2,False
10,6-7,False,False,False,False,True,False,16-45,2,True
11,7.5-9,True,False,True,False,True,True,46-90,2,True
12,sv,False,False,False,False,True,False,0-15,2,False
13,6-7,False,False,False,False,True,True,46-90,3,False
14,sv,False,False,False,False,False,False,0-15,4,False
15,<=5.5,False,False,False,False,True,True,46-90,2,False
16,>=9.5,True,False,False,False,True,True,46-90,2,True
17,>=9.5,True,False,False,False,True,True,46-90,2,True
18,6-7,False,False,False,False,True,True,46-90,3,True
19,6-7,False,False,False,False,True,False,16-45,2,False
20,sv,False,False,False,False,False,False,0-15,3,False
21,sv,False,False,False,False,False,False,0-15,1,False
22,6-7,False,False,False,False,True,False,16-45,4,False
23,sv,False,False,False,False,True,False,0-15,2,False
24,<=5.5,False,False,False,False,True,False,0-15,2,False
26,sv,False,False,False,False,True,False,0-15,4,False
27,>=9.5,True,False,False,False,True,False,0-15,1,True
28,sv,False,False,False,False,False,False,0-15,2,False
29,>=9.5,True,False,False,False,True,False,16-45,2,True
