matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,30/set/2020,17,Benevento,1,Inter,2:5,Available,2,0,0,False,False,False,,,90,False,True,6.0,,0,0,False,True,4,False
2,26/set/2020,20,Sampdoria,16,Benevento,2:3,Available,0,1,0,False,False,False,,75,75,False,False,6.5,5.5,0,0,True,False,4,False
3,04/ott/2020,12,Benevento,8,Bologna,1:0,Available,0,0,0,False,False,False,,62,62,False,True,5.5,5.5,0,0,True,False,3,False
4,18/ott/2020,10,Roma,8,Benevento,5:2,Available,1,0,0,False,False,False,,,90,False,False,9.5,6.0,0,0,True,False,4,True
5,25/ott/2020,10,Benevento,3,Napoli,1:2,Available,0,0,0,True,False,False,,53,53,False,True,4.5,5.0,0,0,True,False,4,False
6,02/nov/2020,8,Verona,13,Benevento,3:1,Available,0,1,0,False,False,True,,,72,False,False,5.0,5.0,0,0,True,False,4,False
7,07/nov/2020,14,Benevento,17,Spezia,0:3,Squalifica per espulsione diretta,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
8,22/nov/2020,12,Fiorentina,16,Benevento,0:1,Squalifica per espulsione diretta,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
9,28/nov/2020,14,Benevento,4,Juventus,1:1,Available,0,0,0,False,False,False,,72,72,False,True,5.5,5.5,0,0,True,False,4,False
10,06/dic/2020,16,Parma,15,Benevento,0:0,Available,0,0,0,False,False,False,,69,69,False,False,5.0,5.0,0,0,True,False,3,False
11,11/dic/2020,5,Sassuolo,14,Benevento,1:0,Available,0,0,0,False,False,False,,79,79,False,False,6.5,6.5,0,0,True,False,4,False
12,15/dic/2020,15,Benevento,9,Lazio,1:1,Available,0,0,0,False,False,False,,81,81,False,True,6.5,6.5,0,0,True,False,4,False
13,20/dic/2020,15,Benevento,18,Genoa,2:0,Available,0,0,0,True,False,False,,79,79,False,True,6.0,6.5,0,0,True,False,2,False
14,23/dic/2020,11,Udinese,12,Benevento,0:2,Available,1,1,0,False,False,False,,81,81,False,False,12.0,7.5,0,0,True,False,3,True
15,03/gen/2021,10,Benevento,1,Milan,0:2,Available,0,0,0,False,False,False,,81,81,False,True,3.0,6.0,0,1,True,False,4,False
16,06/gen/2021,15,Cagliari,10,Benevento,1:2,Available,0,0,0,True,False,False,75,,15,False,False,5.0,5.5,0,0,False,False,3,False
17,09/gen/2021,10,Benevento,5,Atalanta,1:4,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
18,17/gen/2021,20,Crotone,10,Benevento,4:1,Available,0,0,0,False,False,False,40,,50,False,False,5.0,5.0,0,0,False,False,3,False
19,22/gen/2021,11,Benevento,18,Torino,2:2,Available,0,0,0,False,False,False,,76,76,False,True,5.5,5.5,0,0,True,False,2,False
20,30/gen/2021,2,Inter,11,Benevento,4:0,Available,0,0,0,False,False,False,,76,76,False,False,5.0,5.0,0,0,True,False,5,False
21,07/feb/2021,12,Benevento,10,Sampdoria,1:1,Available,1,0,0,False,False,False,,75,75,False,True,9.5,6.0,0,0,True,False,3,True
22,12/feb/2021,13,Bologna,14,Benevento,1:1,Available,0,0,0,False,False,False,,70,70,False,False,6.5,6.5,0,0,True,False,3,True
23,21/feb/2021,15,Benevento,4,Roma,0:0,Available,0,0,0,False,False,False,,68,68,False,True,6.0,6.0,0,0,True,False,4,False
24,28/feb/2021,7,Napoli,15,Benevento,2:0,Available,0,0,0,False,False,False,,64,64,False,False,5.0,5.0,0,0,True,False,4,False
25,03/mar/2021,16,Benevento,8,Verona,0:3,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
26,06/mar/2021,15,Spezia,16,Benevento,1:1,Available,0,0,0,False,False,False,,76,76,False,False,6.0,6.0,0,0,True,False,3,True
27,13/mar/2021,16,Benevento,14,Fiorentina,1:4,Available,0,1,0,False,False,False,,85,85,False,True,7.0,6.0,0,0,True,False,3,True
28,21/mar/2021,2,Juventus,16,Benevento,0:1,Available,0,0,0,False,False,False,73,,17,False,False,6.0,6.0,0,0,False,False,5,False
29,03/apr/2021,16,Benevento,19,Parma,2:2,Available,0,1,0,False,False,False,64,,26,False,True,7.0,6.0,0,0,False,False,2,True
30,12/apr/2021,15,Benevento,9,Sassuolo,0:1,Available,0,0,0,False,False,False,65,,25,False,True,5.5,5.5,0,0,False,False,3,False
