matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,8,Sassuolo,18,Cagliari,1:1,Available,0,0,0,False,False,False,,,90,False,True,5.0,5.0,0,0,True,False,2,False
2,27/set/2020,8,Spezia,11,Sassuolo,1:4,Available,1,2,0,False,False,False,,,90,False,False,12.0,8.0,0,0,True,False,3,True
3,03/ott/2020,7,Sassuolo,19,Crotone,4:1,Available,2,0,0,False,False,False,,,90,False,True,13.0,7.0,1,1,True,False,2,True
4,18/ott/2020,11,Bologna,3,Sassuolo,3:4,Available,1,1,0,False,False,False,,,90,False,False,10.0,6.0,0,0,True,False,3,True
5,23/ott/2020,2,Sassuolo,17,Torino,3:3,Available,1,0,0,False,False,False,,,90,False,True,9.5,6.5,0,0,True,False,2,True
6,01/nov/2020,2,Napoli,3,Sassuolo,0:2,Problema muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
7,06/nov/2020,2,Sassuolo,19,Udinese,0:0,Available,0,0,0,False,False,False,,77,77,False,True,5.0,5.0,0,0,True,False,2,False
8,22/nov/2020,8,Verona,3,Sassuolo,0:2,Problema agli adduttori,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
9,28/nov/2020,2,Sassuolo,6,Inter,0:3,Problema agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
10,06/dic/2020,6,Roma,4,Sassuolo,0:0,Problema agli adduttori,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
11,11/dic/2020,5,Sassuolo,14,Benevento,1:0,Problema agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
12,16/dic/2020,17,Fiorentina,5,Sassuolo,1:1,Available,0,0,0,False,False,False,60,,30,False,False,6.0,6.0,0,0,False,False,3,False
13,20/dic/2020,6,Sassuolo,1,Milan,1:2,Available,0,0,0,False,False,False,46,,45,False,True,5.5,5.5,0,0,False,False,4,False
14,23/dic/2020,10,Sampdoria,6,Sassuolo,2:3,Available,1,1,0,True,False,False,,73,73,False,False,9.0,6.5,0,0,True,False,3,True
15,03/gen/2021,7,Atalanta,5,Sassuolo,5:1,Available,0,0,0,False,False,False,,56,56,False,False,5.0,5.0,0,0,True,False,4,False
16,06/gen/2021,7,Sassuolo,19,Genoa,2:1,Available,0,0,0,False,False,False,,57,57,False,True,5.5,5.5,0,0,True,False,2,False
17,10/gen/2021,3,Juventus,6,Sassuolo,3:1,Available,0,0,0,False,False,False,,46,45,False,False,5.5,5.5,0,0,True,False,4,False
18,17/gen/2021,7,Sassuolo,19,Parma,1:1,Available,0,0,0,False,False,False,,71,71,False,True,6.0,6.0,0,0,True,False,2,True
19,24/gen/2021,7,Lazio,8,Sassuolo,2:1,Available,1,0,0,False,False,False,,,90,False,False,9.0,6.0,0,0,True,False,4,True
20,31/gen/2021,18,Cagliari,9,Sassuolo,1:1,Available,0,0,0,False,False,False,,71,71,False,False,5.0,5.0,0,0,True,False,2,False
21,06/feb/2021,8,Sassuolo,16,Spezia,1:2,Available,1,0,0,False,False,False,,,90,False,True,8.5,5.5,0,0,True,False,2,True
22,14/feb/2021,20,Crotone,8,Sassuolo,1:2,Available,1,1,0,False,False,False,,72,72,False,False,9.5,6.5,1,1,True,False,2,True
23,20/feb/2021,8,Sassuolo,12,Bologna,1:1,Available,1,0,0,False,False,False,,,90,False,True,9.5,6.5,0,0,True,False,2,True
24,17/mar/2021,17,Torino,8,Sassuolo,3:2,Available,0,1,0,False,False,False,,,90,False,False,6.0,,0,0,False,True,2,True
25,03/mar/2021,9,Sassuolo,6,Napoli,3:3,Available,1,1,0,False,False,False,,,90,False,True,10.0,7.0,1,1,True,False,3,True
26,06/mar/2021,11,Udinese,9,Sassuolo,2:0,Available,0,0,0,False,False,False,46,,45,False,False,5.0,5.0,0,0,False,False,3,False
27,13/mar/2021,9,Sassuolo,8,Verona,3:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,3,False
28,07/apr/2021,1,Inter,8,Sassuolo,2:1,Lombalgia,0,0,0,False,False,False,,,0,False,False,6.0,,0,0,False,True,4,False
29,03/apr/2021,8,Sassuolo,6,Roma,2:2,Lombalgia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
30,12/apr/2021,15,Benevento,9,Sassuolo,0:1,Lombalgia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
