matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
2,6-7,False,False,False,False,True,True,46-90,2,False
3,<=5.5,False,False,False,False,True,True,46-90,3,False
4,<=5.5,False,False,False,False,True,True,46-90,3,False
5,6-7,False,False,False,False,True,True,46-90,2,False
6,<=5.5,False,False,False,False,True,True,46-90,2,False
7,7.5-9,False,True,False,False,True,True,46-90,3,True
8,>=9.5,True,False,False,False,True,True,46-90,2,True
9,<=5.5,False,False,False,False,True,True,46-90,2,False
10,sv,False,False,False,False,False,False,0-15,2,False
11,<=5.5,False,False,False,False,True,False,16-45,2,False
12,<=5.5,False,False,False,False,True,True,46-90,2,False
13,sv,False,False,False,False,False,False,0-15,3,False
14,6-7,False,False,False,False,True,True,16-45,4,False
15,sv,False,False,False,False,False,False,0-15,2,False
16,sv,False,False,False,False,False,False,0-15,2,False
17,sv,False,False,False,False,False,False,0-15,2,False
18,sv,False,False,False,False,False,False,0-15,3,False
19,6-7,False,True,False,False,True,True,46-90,2,False
20,>=9.5,True,False,False,False,True,True,46-90,3,True
21,<=5.5,False,False,True,False,True,True,46-90,1,False
22,<=5.5,False,False,False,False,True,True,46-90,4,False
23,<=5.5,False,False,False,False,True,True,46-90,2,False
24,<=5.5,False,False,False,False,True,True,46-90,2,False
26,>=9.5,True,False,False,False,True,True,46-90,4,True
27,<=5.5,False,False,False,False,True,True,46-90,1,False
28,6-7,False,False,False,False,True,False,16-45,2,False
29,<=5.5,False,True,True,False,True,True,46-90,2,False
