matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,4,Juventus,10,Sampdoria,3:0,Problemi alla coscia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
2,27/set/2020,19,Roma,5,Juventus,2:2,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
3,07/apr/2021,6,Juventus,1,Napoli,2:1,Available,1,0,0,False,False,False,69,,21,False,True,6.0,,0,0,False,True,2,False
4,17/ott/2020,20,Crotone,5,Juventus,1:1,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
5,25/ott/2020,5,Juventus,7,Verona,1:1,Available,0,0,0,False,False,False,,,90,False,True,6.5,6.5,0,0,True,False,2,False
6,01/nov/2020,14,Spezia,5,Juventus,1:4,Available,0,0,0,False,False,False,,56,56,False,False,5.0,5.0,0,0,True,False,2,False
7,08/nov/2020,10,Lazio,4,Juventus,1:1,Available,0,0,0,False,False,False,76,,14,False,False,5.0,5.0,0,0,False,False,3,False
8,21/nov/2020,5,Juventus,11,Cagliari,2:0,Available,0,0,0,False,False,False,69,,21,False,True,6.0,6.0,0,0,False,False,1,False
9,28/nov/2020,14,Benevento,4,Juventus,1:1,Available,0,0,0,False,False,False,,,90,False,False,5.5,5.5,0,0,True,False,2,False
10,05/dic/2020,5,Juventus,18,Torino,2:1,Available,0,0,0,False,False,False,,90,90,False,True,4.5,4.5,0,0,True,False,1,False
11,13/dic/2020,19,Genoa,4,Juventus,1:3,Available,1,0,0,False,False,False,,83,83,False,False,10.0,6.5,0,0,True,False,1,True
12,16/dic/2020,4,Juventus,8,Atalanta,1:1,Available,0,0,0,False,False,False,84,,6,False,True,,,0,0,False,False,2,False
13,19/dic/2020,14,Parma,4,Juventus,0:4,Affaticamento muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
14,22/dic/2020,3,Juventus,16,Fiorentina,0:3,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
15,03/gen/2021,3,Juventus,12,Udinese,4:1,Available,1,0,0,False,False,False,,,90,False,True,9.5,6.0,0,0,True,False,1,True
16,06/gen/2021,1,Milan,3,Juventus,1:3,Available,0,2,0,False,False,False,,63,63,False,False,8.5,6.5,0,0,True,False,3,True
17,10/gen/2021,3,Juventus,6,Sassuolo,3:1,Available,0,0,0,False,False,False,,43,43,False,True,5.5,5.5,0,0,True,False,2,False
18,17/gen/2021,2,Inter,3,Juventus,2:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
19,24/gen/2021,3,Juventus,12,Bologna,2:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
20,30/gen/2021,10,Sampdoria,3,Juventus,0:2,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
21,06/feb/2021,3,Juventus,4,Roma,2:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
22,13/feb/2021,6,Napoli,3,Juventus,1:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
23,22/feb/2021,3,Juventus,20,Crotone,3:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
24,27/feb/2021,9,Verona,3,Juventus,1:1,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
25,02/mar/2021,3,Juventus,14,Spezia,3:0,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
26,06/mar/2021,3,Juventus,7,Lazio,3:1,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
27,14/mar/2021,18,Cagliari,3,Juventus,1:3,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
28,21/mar/2021,2,Juventus,16,Benevento,0:1,Infortunio al legamento collaterale mediale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
29,03/apr/2021,17,Torino,3,Juventus,2:2,non convocato,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
30,11/apr/2021,3,Juventus,13,Genoa,3:1,Available,0,0,0,False,False,False,68,,22,False,True,6.0,6.0,0,0,False,False,1,True
