matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,sv,False,False,False,False,False,False,0-15,3,False
2,6-7,False,False,False,False,True,True,46-90,3,True
3,<=5.5,False,False,False,False,True,True,46-90,2,False
4,>=9.5,True,False,False,False,True,True,46-90,2,True
5,>=9.5,True,False,False,False,True,True,46-90,4,True
6,6-7,False,False,True,False,True,True,46-90,2,False
7,sv,False,False,False,False,False,False,0-15,2,False
8,sv,False,False,False,False,False,False,0-15,1,False
9,<=5.5,False,False,False,False,True,True,46-90,3,False
10,6-7,False,False,False,False,True,True,46-90,2,True
11,>=9.5,True,False,False,False,True,True,46-90,2,True
12,6-7,False,True,False,False,True,True,46-90,1,False
13,7.5-9,True,False,False,False,True,True,46-90,3,True
14,7.5-9,True,False,False,False,True,True,46-90,1,True
15,>=9.5,True,False,False,False,True,True,46-90,2,True
16,sv,False,False,False,False,True,False,0-15,2,False
17,<=5.5,False,False,False,False,True,True,46-90,3,False
18,<=5.5,False,False,False,False,True,True,46-90,3,False
19,sv,False,False,False,False,False,False,0-15,2,False
20,sv,False,False,False,False,False,False,0-15,2,False
21,<=5.5,False,False,False,False,True,False,16-45,4,False
22,6-7,False,False,False,False,True,False,16-45,2,True
23,<=5.5,False,False,False,False,True,False,16-45,2,False
24,sv,False,False,False,False,False,False,0-15,3,False
25,sv,False,False,False,False,False,False,0-15,2,False
26,sv,False,False,False,False,False,False,0-15,1,False
27,<=5.5,False,False,True,False,True,True,46-90,2,False
28,<=5.5,False,False,False,False,True,True,46-90,3,False
