matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,19,Parma,5,Napoli,0:2,Affaticamento muscolare,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
2,28/set/2020,13,Bologna,14,Parma,4:1,Available,0,0,0,False,False,False,,69,69,False,False,6.0,6.0,0,0,True,False,4,False
3,04/ott/2020,20,Parma,4,Verona,1:0,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,False
4,18/ott/2020,19,Udinese,17,Parma,3:2,Available,0,0,0,False,False,False,,,90,False,False,5.5,5.5,0,0,True,False,4,False
5,25/ott/2020,19,Parma,14,Spezia,2:2,Available,0,0,0,False,False,False,,,90,False,True,5.5,5.5,0,0,True,False,3,False
6,31/ott/2020,4,Inter,16,Parma,2:2,Available,2,0,0,False,False,False,,74,74,False,False,15.0,8.0,0,0,True,False,5,True
7,07/nov/2020,15,Parma,11,Fiorentina,0:0,Available,0,0,0,False,False,False,,80,80,False,True,5.0,5.0,0,0,True,False,3,False
8,22/nov/2020,4,Roma,15,Parma,3:0,Available,0,0,0,False,False,False,,62,62,False,False,5.0,5.0,0,0,True,False,5,False
9,30/nov/2020,19,Genoa,17,Parma,1:2,Available,2,0,0,False,False,False,,,90,False,False,14.0,7.0,0,0,True,False,3,True
10,06/dic/2020,16,Parma,15,Benevento,0:0,Available,0,0,0,False,False,False,,,90,False,True,5.0,5.0,0,0,True,False,3,False
11,13/dic/2020,1,Milan,16,Parma,2:2,Available,0,1,0,False,False,False,,,90,False,False,7.0,6.0,0,0,True,False,5,True
12,16/dic/2020,14,Parma,11,Cagliari,0:0,Available,0,0,0,False,False,False,,73,73,False,True,6.5,6.5,0,0,True,False,3,True
13,19/dic/2020,14,Parma,4,Juventus,0:4,Available,0,0,0,False,False,False,,46,45,False,True,5.0,5.0,0,0,True,False,5,False
14,22/dic/2020,20,Crotone,15,Parma,2:1,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
15,03/gen/2021,16,Parma,20,Torino,0:3,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
16,06/gen/2021,6,Atalanta,16,Parma,3:0,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
17,10/gen/2021,18,Parma,8,Lazio,0:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,False
18,17/gen/2021,7,Sassuolo,19,Parma,1:1,Available,0,0,0,False,False,False,,,90,False,False,6.5,6.5,0,0,True,False,4,True
19,24/gen/2021,19,Parma,10,Sampdoria,0:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,False
20,31/gen/2021,6,Napoli,19,Parma,2:0,Available,0,0,0,False,False,False,,,90,False,False,5.0,5.0,0,0,True,False,5,False
21,07/feb/2021,19,Parma,15,Bologna,0:3,Available,0,0,0,False,False,False,,,90,False,True,4.5,4.5,0,0,True,False,3,False
22,15/feb/2021,9,Verona,19,Parma,2:1,Available,0,0,0,False,False,False,,,90,False,False,5.0,5.0,0,0,True,False,4,False
23,21/feb/2021,19,Parma,14,Udinese,2:2,non convocato,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
24,27/feb/2021,16,Spezia,19,Parma,2:2,Problema muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
25,04/mar/2021,19,Parma,1,Inter,1:2,Problema muscolare,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,5,False
26,07/mar/2021,14,Fiorentina,19,Parma,3:3,Available,0,0,0,False,False,False,,62,62,False,False,6.0,6.0,0,0,True,False,4,False
27,14/mar/2021,19,Parma,4,Roma,2:0,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
28,19/mar/2021,19,Parma,14,Genoa,1:2,Infortunio alla coscia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
29,03/apr/2021,16,Benevento,19,Parma,2:2,Available,0,0,0,False,False,False,,77,77,False,False,5.0,5.0,0,0,True,False,4,False
30,10/apr/2021,19,Parma,2,Milan,1:3,Available,0,0,0,False,False,False,,46,45,False,True,4.0,4.0,0,0,True,False,5,False
