matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,21/set/2020,5,Milan,12,Bologna,2:0,Available,2,0,0,False,False,False,,,90,True,True,14.0,8.0,1,1,True,False,1,True
2,27/set/2020,17,Crotone,6,Milan,0:2,Coronavirus,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
3,04/ott/2020,5,Milan,11,Spezia,3:0,Coronavirus,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
4,17/ott/2020,4,Inter,2,Milan,1:2,Available,2,0,0,True,False,False,,,90,True,False,10.5,8.0,0,1,True,False,3,True
5,26/ott/2020,1,Milan,8,Roma,3:3,Available,2,0,0,True,False,False,,,90,True,True,12.0,6.5,1,1,True,False,2,True
6,01/nov/2020,19,Udinese,1,Milan,1:2,Available,1,1,0,False,False,False,,,90,True,False,11.5,7.5,0,0,True,False,2,True
7,08/nov/2020,1,Milan,7,Verona,2:2,Available,1,0,0,False,False,False,,,90,True,True,6.5,6.5,0,1,True,False,2,True
8,22/nov/2020,2,Napoli,1,Milan,1:3,Available,2,0,0,False,False,False,,79,79,True,False,14.0,8.0,0,0,True,False,3,True
9,29/nov/2020,1,Milan,15,Fiorentina,2:0,Infortunio muscolare,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
10,06/dic/2020,11,Sampdoria,1,Milan,1:2,Infortunio muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
11,13/dic/2020,1,Milan,16,Parma,2:2,Infortunio muscolare,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
12,16/dic/2020,19,Genoa,1,Milan,2:2,Infortunio muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
13,20/dic/2020,6,Sassuolo,1,Milan,1:2,Infortunio al polpaccio,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
14,23/dic/2020,1,Milan,8,Lazio,3:2,Infortunio al polpaccio,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
15,03/gen/2021,10,Benevento,1,Milan,0:2,Infortunio al polpaccio,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
16,06/gen/2021,1,Milan,3,Juventus,1:3,Infortunio al polpaccio,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
17,09/gen/2021,1,Milan,17,Torino,2:0,Available,0,0,0,False,False,False,85,,5,True,True,,,0,0,False,False,1,False
18,18/gen/2021,16,Cagliari,1,Milan,0:2,Available,2,0,0,False,False,False,,,90,True,False,14.0,8.0,1,1,True,False,1,True
19,23/gen/2021,1,Milan,6,Atalanta,0:3,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,2,False
20,30/gen/2021,13,Bologna,1,Milan,1:2,Available,0,0,0,False,False,False,,,90,True,False,4.0,7.0,0,1,True,False,2,False
21,07/feb/2021,1,Milan,20,Crotone,4:0,Available,2,0,0,False,False,False,,77,77,True,True,14.0,8.0,0,0,True,False,1,True
22,13/feb/2021,16,Spezia,1,Milan,2:0,Available,0,0,0,False,False,False,,,90,True,False,5.0,5.0,0,0,True,False,2,False
23,21/feb/2021,2,Milan,1,Inter,0:3,Available,0,0,0,False,False,False,,75,75,True,True,6.0,6.0,0,0,True,False,3,True
24,28/feb/2021,4,Roma,2,Milan,1:2,Available,0,0,0,False,False,False,,56,56,True,False,5.5,5.5,0,0,True,False,3,True
25,03/mar/2021,2,Milan,12,Udinese,1:1,Infortunio agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
26,07/mar/2021,8,Verona,2,Milan,0:2,Infortunio agli adduttori,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
27,14/mar/2021,2,Milan,6,Napoli,0:1,Infortunio agli adduttori,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
28,21/mar/2021,13,Fiorentina,3,Milan,2:3,Available,1,0,0,False,False,False,,,90,True,False,10.0,7.0,0,0,True,False,2,True
29,03/apr/2021,2,Milan,10,Sampdoria,1:1,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,2,True
30,10/apr/2021,19,Parma,2,Milan,1:3,Available,0,1,0,False,False,True,,,59,True,False,4.5,4.5,0,0,True,False,1,False
