matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,30/set/2020,6,Lazio,3,Atalanta,1:4,Ritardo di condizione,0,0,0,False,False,False,,,0,False,False,6.0,,0,0,False,True,3,False
2,26/set/2020,12,Torino,2,Atalanta,2:4,Ritardo di condizione,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
3,04/ott/2020,2,Atalanta,14,Cagliari,5:2,Ritardo di condizione,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
4,17/ott/2020,6,Napoli,1,Atalanta,4:1,Available,0,0,0,False,False,False,,63,63,True,False,5.0,5.0,0,0,True,False,3,False
5,24/ott/2020,4,Atalanta,9,Sampdoria,1:3,Available,0,0,0,False,False,False,,,90,True,True,6.0,6.0,0,0,True,False,2,False
6,31/ott/2020,20,Crotone,6,Atalanta,1:2,Available,0,0,0,False,False,False,46,,45,True,False,5.0,5.0,0,0,False,False,2,False
7,08/nov/2020,5,Atalanta,6,Inter,1:1,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
8,21/nov/2020,13,Spezia,6,Atalanta,0:0,Available,0,0,0,False,False,False,,84,84,True,False,6.0,6.0,0,0,True,False,2,False
9,28/nov/2020,7,Atalanta,9,Verona,0:2,Available,0,0,0,False,False,False,,63,63,True,True,5.5,5.5,0,0,True,False,2,False
10,20/gen/2021,13,Udinese,8,Atalanta,1:1,Available,0,0,0,False,False,False,58,,32,True,False,6.0,,0,0,False,True,2,True
11,13/dic/2020,9,Atalanta,17,Fiorentina,3:0,Infortunio alla schiena,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
12,16/dic/2020,4,Juventus,8,Atalanta,1:1,Infortunio alla schiena,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
13,20/dic/2020,7,Atalanta,5,Roma,4:1,Available,1,2,0,False,False,False,46,,45,True,True,14.0,8.5,0,0,False,False,3,True
14,23/dic/2020,14,Bologna,7,Atalanta,2:2,Available,0,1,0,False,False,False,,46,45,True,False,7.0,7.0,0,0,True,False,2,False
15,03/gen/2021,7,Atalanta,5,Sassuolo,5:1,Available,0,1,0,False,False,False,,62,62,True,True,8.5,7.5,0,0,True,False,2,False
16,06/gen/2021,6,Atalanta,16,Parma,3:0,Available,0,1,0,False,False,False,,58,58,True,True,8.0,7.0,0,0,True,False,1,True
17,09/gen/2021,10,Benevento,5,Atalanta,1:4,Available,1,1,0,False,False,False,,87,87,True,False,13.0,8.5,0,0,True,False,2,True
18,17/gen/2021,5,Atalanta,17,Genoa,0:0,Available,0,0,0,False,False,False,,88,88,True,True,5.0,5.0,0,0,True,False,1,False
19,23/gen/2021,1,Milan,6,Atalanta,0:3,Available,1,0,0,False,False,False,,82,82,True,False,11.5,8.0,1,1,True,False,4,True
20,31/gen/2021,5,Atalanta,7,Lazio,1:3,Available,0,0,0,False,False,False,,67,67,True,True,5.0,5.0,0,0,True,False,3,False
21,06/feb/2021,7,Atalanta,17,Torino,3:3,Available,1,0,0,False,False,False,,58,58,True,True,9.5,6.0,0,0,True,False,1,True
22,14/feb/2021,18,Cagliari,7,Atalanta,0:1,Available,0,0,0,True,False,False,,68,68,True,False,4.5,5.0,0,0,True,False,2,False
23,21/feb/2021,6,Atalanta,5,Napoli,4:2,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
24,28/feb/2021,10,Sampdoria,5,Atalanta,0:2,Available,0,0,0,False,False,False,59,,31,True,False,6.5,6.5,0,0,False,False,3,True
25,03/mar/2021,4,Atalanta,20,Crotone,5:1,Available,1,1,0,False,False,False,,,90,True,True,12.0,7.5,0,0,True,False,1,True
26,08/mar/2021,1,Inter,4,Atalanta,1:0,Available,0,0,0,False,False,False,46,,45,True,False,5.0,5.0,0,0,False,False,4,False
27,12/mar/2021,5,Atalanta,15,Spezia,3:1,Available,0,1,0,False,False,False,,66,66,True,True,6.5,5.5,0,0,True,False,2,False
28,21/mar/2021,9,Verona,4,Atalanta,0:2,Available,0,0,0,False,False,False,77,,13,True,False,6.5,6.5,0,0,False,False,3,True
29,03/apr/2021,4,Atalanta,12,Udinese,3:2,Available,0,0,0,False,False,False,46,,45,True,True,5.0,5.0,0,0,False,False,2,False
30,11/apr/2021,14,Fiorentina,4,Atalanta,2:3,Available,1,0,0,False,False,False,63,,27,True,False,10.0,6.5,1,1,False,False,2,True
