matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,>=9.5,True,False,False,False,True,True,46-90,2,True
2,6-7,False,False,False,False,True,True,16-45,1,False
4,sv,False,False,False,False,False,False,0-15,3,False
5,>=9.5,True,False,False,False,True,True,46-90,2,True
6,sv,False,False,False,False,False,False,0-15,2,False
7,6-7,False,False,False,False,True,True,46-90,2,False
8,<=5.5,False,False,False,False,True,True,46-90,3,False
9,>=9.5,True,True,False,False,True,True,46-90,3,True
10,>=9.5,True,True,False,False,True,True,46-90,2,True
11,<=5.5,False,False,True,False,True,True,46-90,2,False
12,<=5.5,False,False,False,True,True,True,46-90,4,False
13,sv,False,False,False,False,False,False,0-15,3,False
14,>=9.5,True,False,False,False,True,True,46-90,1,True
15,>=9.5,True,False,False,False,True,True,46-90,2,True
16,<=5.5,False,False,False,False,True,True,46-90,2,False
17,>=9.5,True,False,False,False,True,True,46-90,2,True
18,>=9.5,True,True,True,False,True,True,46-90,2,True
19,<=5.5,False,False,False,False,True,True,46-90,3,False
20,6-7,False,False,False,False,True,True,46-90,1,False
21,<=5.5,False,False,False,False,True,False,16-45,2,False
22,>=9.5,True,False,False,False,True,True,46-90,3,True
23,<=5.5,False,False,False,False,True,False,16-45,3,False
24,6-7,False,False,False,False,True,True,46-90,2,True
25,>=9.5,True,True,False,False,True,True,46-90,3,True
26,>=9.5,True,False,False,False,True,True,46-90,2,True
27,6-7,False,False,False,False,True,True,46-90,4,False
28,6-7,False,False,False,False,True,True,46-90,3,True
