matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,7.5-9,False,True,False,False,True,True,46-90,4,True
2,<=5.5,False,False,False,False,True,True,46-90,4,False
3,>=9.5,True,False,False,False,True,True,46-90,5,True
4,>=9.5,True,False,False,False,True,True,46-90,3,True
5,>=9.5,True,True,False,False,True,True,46-90,3,True
6,>=9.5,True,False,True,False,True,True,46-90,4,True
7,>=9.5,True,False,False,False,True,True,46-90,4,True
8,<=5.5,False,False,False,False,True,True,46-90,5,False
9,>=9.5,True,False,False,False,True,True,46-90,3,True
10,6-7,False,False,False,False,True,True,46-90,4,True
11,<=5.5,False,False,False,False,True,True,46-90,5,False
12,<=5.5,False,False,False,False,True,True,46-90,3,False
13,<=5.5,False,False,False,False,True,True,46-90,3,False
14,>=9.5,True,False,False,False,True,True,46-90,5,True
15,>=9.5,True,False,False,False,True,True,46-90,4,True
16,>=9.5,True,False,False,False,True,True,46-90,3,True
17,<=5.5,False,False,False,False,True,True,46-90,4,False
18,6-7,False,False,False,False,True,True,46-90,5,True
19,6-7,False,False,False,False,True,True,46-90,3,True
20,>=9.5,True,False,False,False,True,True,46-90,4,True
21,<=5.5,False,False,True,False,True,True,46-90,5,False
22,<=5.5,False,False,False,False,True,True,46-90,4,False
23,<=5.5,False,False,False,False,True,True,46-90,3,False
24,>=9.5,True,False,False,False,True,True,46-90,3,True
25,<=5.5,False,False,False,False,True,True,46-90,3,False
26,>=9.5,True,False,False,False,True,True,46-90,4,True
27,<=5.5,False,False,False,False,True,True,46-90,5,False
28,6-7,False,False,True,False,True,True,46-90,4,True
29,<=5.5,False,False,False,False,True,True,46-90,4,False
