matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,21/set/2020,2,Milan,11,Bologna,2:0,Coronavirus,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
2,27/set/2020,17,Crotone,6,Milan,0:2,Available,0,0,0,True,False,False,83,,7,False,False,,,0,0,False,False,1,False
3,04/ott/2020,5,Milan,11,Spezia,3:0,Available,2,0,0,False,False,False,,83,83,False,True,13.0,7.0,0,0,True,False,1,True
4,17/ott/2020,4,Inter,2,Milan,1:2,Available,0,1,0,False,False,False,,62,62,False,False,8.0,7.0,0,0,True,False,3,False
5,26/ott/2020,1,Milan,8,Roma,3:3,Available,0,2,0,True,False,False,,72,72,False,True,8.5,7.0,0,0,True,False,2,True
6,01/nov/2020,19,Udinese,1,Milan,1:2,Available,0,0,0,False,False,False,,71,71,False,False,6.5,6.5,0,0,True,False,2,False
7,08/nov/2020,1,Milan,7,Verona,2:2,Available,0,0,0,False,False,False,,78,78,False,True,6.5,6.5,0,0,True,False,2,True
8,22/nov/2020,2,Napoli,1,Milan,1:3,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
9,29/nov/2020,1,Milan,15,Fiorentina,2:0,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,1,False
10,06/dic/2020,11,Sampdoria,1,Milan,1:2,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
11,13/dic/2020,1,Milan,16,Parma,2:2,Available,0,0,0,False,False,False,46,,45,False,True,5.0,5.0,0,0,False,False,1,False
12,16/dic/2020,19,Genoa,1,Milan,2:2,Available,0,0,0,True,False,False,,,90,False,False,4.0,4.5,0,0,True,False,1,False
13,20/dic/2020,6,Sassuolo,1,Milan,1:2,Available,1,0,0,False,False,False,,,90,False,False,10.0,7.0,0,0,True,False,2,True
14,23/dic/2020,1,Milan,8,Lazio,3:2,Available,0,0,0,False,False,False,,79,79,False,True,5.5,5.5,0,0,True,False,2,False
15,03/gen/2021,10,Benevento,1,Milan,0:2,Available,1,0,0,True,False,False,,,90,False,False,9.5,7.0,0,0,True,False,2,True
16,06/gen/2021,1,Milan,3,Juventus,1:3,Available,0,1,0,False,False,False,,,90,False,True,8.0,7.0,0,0,True,False,3,True
17,09/gen/2021,1,Milan,17,Torino,2:0,Available,1,0,0,True,False,False,,85,85,False,True,9.5,7.0,0,0,True,False,1,True
18,18/gen/2021,16,Cagliari,1,Milan,0:2,Squalifica per somma di ammonizioni,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,1,False
19,23/gen/2021,1,Milan,6,Atalanta,0:3,Available,0,0,0,False,False,False,,70,70,False,True,5.5,5.5,0,0,True,False,2,False
20,30/gen/2021,13,Bologna,1,Milan,1:2,Available,0,0,0,False,False,False,,73,73,False,False,7.0,7.0,0,0,True,False,2,True
21,07/feb/2021,1,Milan,20,Crotone,4:0,Available,0,1,0,False,False,False,,62,62,False,True,7.5,6.5,0,0,True,False,1,True
22,13/feb/2021,16,Spezia,1,Milan,2:0,Available,0,0,0,False,False,False,,64,64,False,False,5.0,5.0,0,0,True,False,2,False
23,21/feb/2021,2,Milan,1,Inter,0:3,Available,0,0,0,False,False,False,67,,23,False,True,5.0,5.0,0,0,False,False,3,False
24,28/feb/2021,4,Roma,2,Milan,1:2,Available,0,0,0,False,False,False,56,,34,False,False,6.0,6.0,0,0,False,False,3,True
25,03/mar/2021,2,Milan,12,Udinese,1:1,Available,0,0,0,False,False,False,,,90,False,True,4.5,4.5,0,0,True,False,1,False
26,07/mar/2021,8,Verona,2,Milan,0:2,Available,0,0,0,False,False,False,,,90,False,False,6.0,6.0,0,0,True,False,2,True
27,14/mar/2021,2,Milan,6,Napoli,0:1,Available,0,0,0,False,False,False,,79,79,False,True,5.0,5.0,0,0,True,False,2,False
28,21/mar/2021,13,Fiorentina,3,Milan,2:3,Infortunio muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,2,False
29,03/apr/2021,2,Milan,10,Sampdoria,1:1,Infortunio muscolare,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
30,10/apr/2021,19,Parma,2,Milan,1:3,Available,1,0,0,False,False,False,84,,6,False,False,10.0,7.0,0,0,False,False,1,True
