matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
2,>=9.5,True,True,False,False,True,True,46-90,1,True
3,>=9.5,True,False,False,False,True,True,46-90,3,True
4,6-7,False,False,False,False,True,True,46-90,3,False
5,<=5.5,False,False,True,False,True,True,46-90,1,False
6,<=5.5,False,False,False,False,True,True,46-90,1,False
7,>=9.5,True,False,True,False,True,True,46-90,3,True
8,>=9.5,True,False,False,False,True,False,16-45,1,True
9,7.5-9,False,True,False,False,True,True,46-90,2,True
10,6-7,False,False,False,False,True,False,16-45,1,True
11,6-7,False,True,False,False,True,False,16-45,1,True
12,<=5.5,False,False,False,False,True,True,46-90,2,False
13,7.5-9,False,True,False,False,True,True,46-90,1,True
14,>=9.5,True,False,False,False,True,True,46-90,2,True
15,>=9.5,True,False,False,False,True,True,46-90,1,True
16,<=5.5,False,False,True,False,True,True,46-90,2,False
17,6-7,False,False,False,False,True,True,46-90,3,True
18,<=5.5,False,False,False,False,True,True,46-90,3,False
19,<=5.5,False,False,False,False,True,True,46-90,2,False
20,>=9.5,True,True,False,False,True,True,46-90,1,True
21,6-7,False,False,False,False,True,False,16-45,2,True
22,>=9.5,True,True,False,False,True,True,46-90,2,True
23,>=9.5,True,False,False,False,True,True,46-90,3,True
24,6-7,False,True,False,False,True,True,46-90,1,True
25,6-7,False,False,False,False,True,False,0-15,1,True
26,<=5.5,False,False,False,False,True,True,46-90,2,False
27,>=9.5,True,True,False,False,True,True,46-90,1,True
29,6-7,False,False,False,False,True,True,46-90,2,True
