matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,20/set/2020,14,Genoa,20,Crotone,4:1,Available,0,0,0,False,False,False,,,90,False,False,6.0,6.0,0,0,True,False,3,True
2,27/set/2020,17,Crotone,6,Milan,0:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,5,False
3,03/ott/2020,7,Sassuolo,19,Crotone,4:1,Available,0,0,0,False,False,False,,,90,False,False,6.0,6.0,0,0,True,False,4,False
4,17/ott/2020,20,Crotone,5,Juventus,1:1,Available,0,0,0,False,False,False,,,90,False,True,7.0,7.0,0,0,True,False,5,True
5,25/ott/2020,12,Cagliari,20,Crotone,4:2,Available,1,0,0,False,False,False,,,90,False,False,10.5,7.0,0,0,True,False,3,True
6,31/ott/2020,20,Crotone,6,Atalanta,1:2,Available,0,0,0,False,False,False,,,90,False,True,6.5,6.5,0,0,True,False,4,False
7,08/nov/2020,18,Torino,20,Crotone,0:0,Available,0,0,0,False,False,False,,,90,False,False,5.5,5.5,0,0,True,False,3,False
8,21/nov/2020,20,Crotone,9,Lazio,0:2,Available,0,0,0,False,False,False,,,90,False,True,7.0,7.0,0,0,True,False,4,True
9,29/nov/2020,12,Bologna,20,Crotone,1:0,Available,0,0,0,False,False,False,,,90,False,False,5.5,5.5,0,0,True,False,4,False
10,06/dic/2020,20,Crotone,2,Napoli,0:4,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,True
11,12/dic/2020,20,Crotone,15,Spezia,4:1,Available,2,0,0,True,False,False,,,90,False,True,14.5,8.0,0,0,True,False,3,True
12,15/dic/2020,10,Udinese,20,Crotone,0:0,Available,0,0,0,True,False,False,,82,82,False,False,5.0,5.5,0,0,True,False,4,False
13,19/dic/2020,11,Sampdoria,20,Crotone,3:1,Available,0,0,0,True,False,False,,,90,False,False,5.5,6.0,0,0,True,False,4,False
14,22/dic/2020,20,Crotone,15,Parma,2:1,Available,2,0,0,False,False,False,,,90,False,True,15.0,8.0,0,0,True,False,3,True
15,03/gen/2021,2,Inter,19,Crotone,6:2,Available,0,1,0,False,False,False,,86,86,False,False,7.0,6.0,0,0,True,False,5,True
16,06/gen/2021,20,Crotone,4,Roma,1:3,Available,0,1,0,False,False,False,,,90,False,True,7.5,6.5,0,0,True,False,4,True
17,10/gen/2021,9,Verona,20,Crotone,2:1,Available,1,0,0,False,False,False,,,90,False,False,10.0,6.5,0,0,True,False,4,True
18,17/gen/2021,20,Crotone,10,Benevento,4:1,Available,0,0,0,True,False,False,,,90,False,True,6.5,7.0,0,0,True,False,3,True
19,23/gen/2021,14,Fiorentina,20,Crotone,2:1,Available,0,0,0,False,False,False,,87,87,False,False,6.5,6.5,0,0,True,False,4,False
20,31/gen/2021,20,Crotone,16,Genoa,0:3,Available,0,0,0,True,False,False,,,90,False,True,4.5,5.0,0,0,True,False,3,False
21,07/feb/2021,1,Milan,20,Crotone,4:0,Squalifica per somma di ammonizioni,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
22,14/feb/2021,20,Crotone,8,Sassuolo,1:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,False
23,22/feb/2021,3,Juventus,20,Crotone,3:0,Available,0,0,0,False,False,False,,,90,False,False,6.0,6.0,0,0,True,False,5,False
24,28/feb/2021,20,Crotone,18,Cagliari,0:2,Available,0,0,0,False,False,False,,,90,False,True,5.0,5.0,0,0,True,False,3,False
25,03/mar/2021,4,Atalanta,20,Crotone,5:1,Available,0,0,0,False,False,False,,,90,False,False,5.5,5.5,0,0,True,False,5,True
26,07/mar/2021,20,Crotone,17,Torino,4:2,Available,0,0,0,False,False,False,,,90,False,True,7.5,7.5,0,0,True,False,3,True
27,12/mar/2021,7,Lazio,20,Crotone,3:2,Available,0,1,0,False,False,False,,,90,False,False,6.5,6.5,0,0,True,False,5,True
28,20/mar/2021,20,Crotone,12,Bologna,2:3,Available,1,0,0,False,False,False,,,90,False,True,10.5,7.0,0,0,True,False,3,True
29,03/apr/2021,5,Napoli,20,Crotone,4:3,Available,1,1,0,False,False,False,,,90,False,False,11.0,6.5,0,0,True,False,5,True
30,10/apr/2021,16,Spezia,20,Crotone,3:2,Available,0,0,0,False,False,False,,,90,False,False,6.0,6.0,0,0,True,False,4,False
