matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
2,<=5.5,False,False,False,False,True,True,46-90,3,False
4,>=9.5,True,False,False,False,True,True,46-90,1,True
5,6-7,False,True,False,False,True,True,46-90,2,False
6,>=9.5,True,True,False,False,True,True,46-90,2,True
7,6-7,False,False,False,False,True,True,46-90,3,True
8,6-7,False,True,False,False,True,True,46-90,1,False
9,7.5-9,True,False,False,True,True,True,46-90,2,True
10,sv,False,False,False,False,False,False,0-15,1,False
11,6-7,False,True,False,False,True,False,16-45,1,False
12,<=5.5,False,False,True,False,True,True,46-90,2,False
13,>=9.5,True,True,False,False,True,True,46-90,1,True
14,<=5.5,False,False,False,False,True,True,16-45,1,False
15,sv,False,False,False,False,False,False,0-15,1,False
16,sv,False,False,False,False,False,False,0-15,3,False
17,sv,False,False,False,False,True,False,0-15,2,False
18,<=5.5,False,False,True,False,True,True,46-90,3,False
19,6-7,False,False,False,False,True,False,16-45,1,False
20,7.5-9,False,True,False,False,True,True,46-90,2,True
21,6-7,False,True,False,False,True,True,46-90,2,True
22,<=5.5,False,False,False,False,True,True,46-90,3,False
23,6-7,False,False,False,False,True,False,0-15,1,False
24,sv,False,False,False,False,False,False,0-15,2,False
25,>=9.5,True,False,False,False,True,False,16-45,1,True
26,>=9.5,True,True,False,False,True,True,46-90,2,True
27,<=5.5,False,False,False,False,True,True,46-90,1,False
28,<=5.5,False,False,False,False,True,True,46-90,1,False
29,6-7,False,True,False,False,True,True,46-90,1,False
