matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
2,>=9.5,True,True,False,False,True,True,46-90,2,True
3,>=9.5,True,False,False,False,True,True,46-90,1,True
4,sv,False,False,False,False,True,False,0-15,3,False
5,sv,False,False,False,False,False,False,0-15,2,False
6,>=9.5,True,False,False,False,True,True,16-45,2,True
7,6-7,False,True,False,False,True,False,16-45,3,True
8,sv,False,False,False,False,False,False,0-15,2,False
9,<=5.5,False,False,False,False,True,False,16-45,2,False
11,6-7,False,False,False,False,True,False,16-45,2,True
12,6-7,False,False,False,False,True,False,16-45,4,True
13,>=9.5,True,False,False,False,True,False,16-45,3,True
14,>=9.5,True,False,False,False,True,True,46-90,2,True
15,>=9.5,True,False,False,False,True,False,16-45,2,True
16,>=9.5,True,False,False,False,True,True,16-45,1,True
17,>=9.5,True,False,False,False,True,False,16-45,2,True
18,6-7,False,False,False,False,True,False,16-45,1,False
19,sv,False,False,False,False,True,False,0-15,4,False
20,6-7,False,True,False,False,True,False,16-45,3,True
21,>=9.5,True,True,False,False,True,True,46-90,1,True
22,>=9.5,True,False,False,False,True,False,16-45,2,True
23,>=9.5,True,True,False,False,True,True,46-90,3,True
24,6-7,False,True,False,False,True,True,46-90,3,True
25,>=9.5,True,True,False,False,True,True,46-90,1,True
26,6-7,False,False,False,False,True,False,16-45,4,True
27,>=9.5,True,False,False,False,True,True,46-90,2,True
28,6-7,False,False,False,False,True,False,0-15,3,True
