matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
4,18/ott/2020,16,Spezia,12,Fiorentina,2:2,Available,0,0,0,False,False,False,55,,35,True,True,6.5,6.5,0,0,False,False,3,True
5,25/ott/2020,19,Parma,14,Spezia,2:2,Available,0,1,0,False,False,False,,82,82,True,False,8.0,7.0,0,0,True,False,3,True
6,01/nov/2020,14,Spezia,5,Juventus,1:4,Available,0,0,0,False,False,False,,,90,True,True,6.0,6.0,0,0,True,False,4,False
7,07/nov/2020,14,Benevento,17,Spezia,0:3,Available,2,0,0,False,False,False,,,90,True,False,13.0,7.0,0,0,True,False,3,True
8,21/nov/2020,13,Spezia,6,Atalanta,0:0,Available,0,0,0,False,False,False,,,90,True,True,6.5,6.5,0,0,True,False,4,True
9,29/nov/2020,11,Cagliari,13,Spezia,2:2,Available,1,0,0,False,False,False,,,90,True,False,10.0,7.0,1,1,True,False,3,True
10,05/dic/2020,14,Spezia,9,Lazio,1:2,Available,1,0,0,False,False,False,,90,90,True,True,9.5,6.5,0,0,True,False,4,True
11,12/dic/2020,20,Crotone,15,Spezia,4:1,Vacanze extra,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
12,16/dic/2020,16,Spezia,12,Bologna,2:2,Available,2,0,0,False,False,False,,,90,True,True,13.0,7.0,0,0,True,False,3,True
13,20/dic/2020,2,Inter,16,Spezia,2:1,Available,0,0,0,True,False,False,,80,80,True,False,5.0,5.5,0,0,True,False,5,False
14,23/dic/2020,17,Spezia,19,Genoa,1:2,Available,1,0,0,False,False,False,,,90,True,True,9.0,6.0,0,0,True,False,2,True
15,03/gen/2021,17,Spezia,9,Verona,0:1,Available,0,0,0,False,False,False,,,90,True,True,5.0,5.0,0,0,True,False,3,False
16,06/gen/2021,5,Napoli,18,Spezia,1:2,Available,1,0,0,False,False,False,,,90,True,False,9.5,6.5,1,1,True,False,4,True
17,11/gen/2021,16,Spezia,11,Sampdoria,2:1,Available,1,0,0,False,False,False,,79,79,True,True,10.0,7.0,1,1,True,False,3,True
18,16/gen/2021,18,Torino,15,Spezia,0:0,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
19,23/gen/2021,5,Roma,13,Spezia,4:3,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
20,31/gen/2021,15,Spezia,14,Udinese,0:1,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
21,06/feb/2021,8,Sassuolo,16,Spezia,1:2,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
22,13/feb/2021,16,Spezia,1,Milan,2:0,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
23,19/feb/2021,16,Fiorentina,13,Spezia,3:0,Problemi alla caviglia,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
24,27/feb/2021,16,Spezia,19,Parma,2:2,Available,0,0,0,True,False,False,70,,20,True,True,6.0,6.5,0,0,False,False,2,True
25,02/mar/2021,3,Juventus,14,Spezia,3:0,Available,0,0,0,False,False,False,,72,72,True,False,5.0,5.0,0,0,True,False,5,False
26,06/mar/2021,15,Spezia,16,Benevento,1:1,Available,0,0,0,False,False,False,,58,58,True,True,5.0,5.0,0,0,True,False,3,False
27,12/mar/2021,5,Atalanta,15,Spezia,3:1,Available,0,0,0,False,False,False,,80,80,True,False,5.0,5.0,0,0,True,False,4,False
28,20/mar/2021,15,Spezia,18,Cagliari,2:1,Available,0,0,0,False,False,False,67,,23,True,True,5.0,5.0,0,0,False,False,2,False
29,03/apr/2021,7,Lazio,15,Spezia,2:1,Available,0,0,0,True,False,False,70,,20,True,False,5.5,6.0,0,0,False,False,4,False
30,10/apr/2021,16,Spezia,20,Crotone,3:2,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,2,True
