matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,30/set/2020,12,Udinese,14,Spezia,0:2,Available,0,0,0,False,False,False,,64,64,False,True,6.0,,0,0,False,True,3,False
2,27/set/2020,4,Verona,15,Udinese,1:0,Available,0,0,0,False,False,False,,,90,False,False,5.0,5.0,0,0,True,False,4,False
3,03/ott/2020,17,Udinese,15,Roma,0:1,Available,0,0,0,True,False,False,,,90,False,True,4.5,5.0,0,0,True,False,4,False
4,18/ott/2020,19,Udinese,17,Parma,3:2,Available,0,1,0,False,False,False,,,90,False,True,7.5,6.5,0,0,True,False,2,False
5,25/ott/2020,11,Fiorentina,18,Udinese,3:2,Available,2,0,0,False,False,False,,,90,False,False,13.5,7.5,0,0,True,False,3,True
6,01/nov/2020,19,Udinese,1,Milan,1:2,Available,0,0,0,False,False,False,,71,71,False,True,5.5,5.5,0,0,True,False,4,False
7,06/nov/2020,2,Sassuolo,19,Udinese,0:0,Available,0,0,0,False,False,False,,85,85,False,False,6.0,6.0,0,0,True,False,4,False
8,22/nov/2020,19,Udinese,18,Genoa,1:0,Available,0,0,0,False,False,False,,,90,False,True,6.5,6.5,0,0,True,False,2,True
9,29/nov/2020,8,Lazio,16,Udinese,1:3,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
10,20/gen/2021,13,Udinese,8,Atalanta,1:1,Problema fisico,0,0,0,False,False,False,,,0,False,True,6.0,,0,0,False,True,4,False
11,12/dic/2020,18,Torino,13,Udinese,2:3,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
12,15/dic/2020,10,Udinese,20,Crotone,0:0,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,2,False
13,20/dic/2020,12,Cagliari,10,Udinese,1:1,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
14,23/dic/2020,11,Udinese,12,Benevento,0:2,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
15,03/gen/2021,3,Juventus,12,Udinese,4:1,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
16,06/gen/2021,12,Bologna,13,Udinese,2:2,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
17,10/gen/2021,13,Udinese,7,Napoli,1:2,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
18,16/gen/2021,11,Sampdoria,13,Udinese,2:1,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
19,23/gen/2021,15,Udinese,2,Inter,0:0,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
20,31/gen/2021,15,Spezia,14,Udinese,0:1,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
21,07/feb/2021,13,Udinese,9,Verona,2:0,Available,0,0,0,False,False,False,76,,14,False,True,6.0,6.0,0,0,False,False,3,False
22,14/feb/2021,4,Roma,11,Udinese,3:0,Available,0,0,0,False,False,False,62,,28,False,False,5.5,5.5,0,0,False,False,4,False
23,21/feb/2021,19,Parma,14,Udinese,2:2,Available,1,0,0,False,False,False,60,,30,False,False,10.0,7.0,0,0,False,False,3,True
24,28/feb/2021,13,Udinese,14,Fiorentina,1:0,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
25,03/mar/2021,2,Milan,12,Udinese,1:1,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
26,06/mar/2021,11,Udinese,9,Sassuolo,2:0,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
27,13/mar/2021,13,Genoa,11,Udinese,1:1,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
28,21/mar/2021,,Udinese,,Lazio,0:1,Available,0,0,0,False,False,False,62,,28,False,True,6.0,6.0,0,0,False,False,4,False
29,03/apr/2021,4,Atalanta,12,Udinese,3:2,Available,0,0,0,False,False,False,,59,59,False,False,5.5,5.5,0,0,True,False,4,False
30,10/apr/2021,12,Udinese,17,Torino,0:1,Available,0,0,0,False,False,False,65,,25,False,True,5.5,5.5,0,0,False,False,2,False
