matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,7.5-9,False,False,False,False,True,False,16-45,2,True
2,7.5-9,False,True,True,False,True,True,46-90,1,True
4,>=9.5,True,False,False,False,True,True,46-90,3,True
5,<=5.5,False,False,False,False,True,True,46-90,2,False
6,<=5.5,False,False,False,False,True,True,46-90,2,False
7,>=9.5,True,False,False,False,True,True,46-90,2,True
8,sv,False,False,False,False,False,False,0-15,3,False
9,sv,False,False,False,False,False,False,0-15,3,False
10,sv,False,False,False,False,False,False,0-15,2,False
11,sv,False,False,False,False,False,False,0-15,2,False
12,sv,False,False,False,False,False,False,0-15,4,False
13,sv,False,False,False,False,False,False,0-15,3,False
14,sv,False,False,False,False,False,False,0-15,1,False
15,sv,False,False,False,False,False,False,0-15,2,False
16,sv,False,False,False,False,False,False,0-15,2,False
17,sv,False,False,False,False,False,False,0-15,2,False
18,sv,False,False,False,False,False,False,0-15,2,False
19,<=5.5,False,False,False,False,True,False,16-45,3,False
20,sv,False,False,False,False,False,False,0-15,1,False
21,<=5.5,False,False,False,False,True,False,16-45,2,False
22,<=5.5,False,False,False,False,True,True,46-90,3,False
23,<=5.5,False,False,False,False,True,True,46-90,3,False
24,sv,False,False,False,False,False,False,0-15,2,False
25,sv,False,False,False,False,False,False,0-15,3,False
26,>=9.5,True,False,False,False,True,False,16-45,2,True
27,6-7,False,False,False,False,True,False,16-45,4,False
28,<=5.5,False,False,True,False,True,False,16-45,3,False
29,7.5-9,True,False,False,False,True,True,46-90,1,True
