matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,<=5.5,False,False,False,False,True,True,46-90,3,False
2,<=5.5,False,False,False,False,True,True,46-90,5,False
3,7.5-9,True,False,True,False,True,True,46-90,4,True
4,>=9.5,True,False,False,False,True,True,46-90,5,False
5,6-7,False,False,False,False,True,True,46-90,3,False
6,>=9.5,True,False,False,False,True,True,46-90,4,True
7,<=5.5,False,False,False,False,True,True,46-90,3,False
8,<=5.5,False,False,False,False,True,True,46-90,4,False
9,6-7,False,False,False,False,True,True,46-90,4,True
10,<=5.5,False,False,False,False,True,True,46-90,4,False
11,6-7,False,True,False,False,True,True,46-90,3,False
12,<=5.5,False,False,False,False,True,True,46-90,4,False
13,7.5-9,True,False,False,False,True,True,46-90,4,True
14,6-7,False,False,False,False,True,False,16-45,3,False
15,<=5.5,False,False,False,False,True,False,16-45,5,False
16,<=5.5,False,False,False,False,True,True,46-90,4,False
17,6-7,False,False,False,False,True,False,16-45,4,True
18,>=9.5,True,True,False,False,True,True,46-90,3,True
19,>=9.5,True,False,False,False,True,True,46-90,4,True
20,<=5.5,False,False,False,False,True,True,46-90,3,False
21,sv,False,False,False,False,True,False,0-15,5,False
22,<=5.5,False,False,False,False,True,False,16-45,4,False
23,<=5.5,False,False,False,False,True,False,16-45,5,False
24,<=5.5,False,False,False,False,True,False,16-45,3,False
25,7.5-9,True,False,False,False,True,True,46-90,5,True
26,>=9.5,True,False,False,False,True,True,46-90,3,True
27,>=9.5,True,False,False,False,True,True,46-90,5,True
28,>=9.5,True,False,False,False,True,True,46-90,3,True
