matchday,grade_range,goal,assist,yellow_card,red_card,available,starter,time_range,difficulty_match,deployability
1,sv,False,False,False,False,True,False,0-15,2,False
2,<=5.5,False,False,False,False,True,False,16-45,5,False
3,>=9.5,True,False,False,False,True,True,46-90,3,True
4,<=5.5,False,False,False,False,True,True,46-90,3,False
5,<=5.5,False,False,False,False,True,True,46-90,3,False
6,<=5.5,False,False,False,False,True,False,16-45,4,False
7,sv,False,False,False,False,False,False,0-15,3,False
8,<=5.5,False,False,False,False,True,True,46-90,3,False
9,6-7,False,False,False,False,True,True,46-90,5,False
10,6-7,False,False,False,False,True,True,46-90,2,False
11,<=5.5,False,False,False,False,True,True,46-90,4,False
12,>=9.5,True,False,False,False,True,True,46-90,3,True
13,>=9.5,True,False,False,False,True,True,46-90,3,True
14,>=9.5,True,False,False,False,True,True,46-90,5,True
15,<=5.5,False,False,False,False,True,True,46-90,3,False
16,>=9.5,True,False,False,False,True,True,46-90,4,True
17,>=9.5,True,False,False,False,True,True,46-90,2,True
18,<=5.5,False,False,False,False,True,True,46-90,4,False
19,>=9.5,True,False,False,False,True,True,46-90,2,True
20,<=5.5,False,False,False,False,True,True,46-90,3,False
21,<=5.5,False,False,False,False,True,True,46-90,4,False
22,7.5-9,True,False,False,False,True,True,46-90,4,True
23,>=9.5,True,True,False,False,True,True,46-90,3,True
24,<=5.5,False,False,False,False,True,True,46-90,3,False
25,6-7,False,False,False,False,True,True,46-90,4,True
26,<=5.5,False,False,False,False,True,True,46-90,2,False
27,>=9.5,True,False,False,False,True,True,46-90,3,True
28,6-7,False,True,False,False,True,True,46-90,4,True
