matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,30/set/2020,6,Lazio,3,Atalanta,1:4,Available,0,0,0,False,False,False,,82,82,False,False,6.0,,0,0,False,True,3,True
2,26/set/2020,12,Torino,2,Atalanta,2:4,Available,0,1,0,False,False,False,,85,85,False,False,7.0,6.0,0,0,True,False,2,True
3,04/ott/2020,2,Atalanta,14,Cagliari,5:2,Available,1,1,0,False,False,False,,65,65,False,True,10.0,7.0,0,0,True,False,1,True
4,17/ott/2020,6,Napoli,1,Atalanta,4:1,Available,0,0,0,False,False,False,,46,45,False,False,5.0,5.0,0,0,True,False,3,False
5,24/ott/2020,4,Atalanta,9,Sampdoria,1:3,Available,1,0,0,False,False,False,46,,45,False,True,9.0,6.0,1,1,False,False,2,True
6,31/ott/2020,20,Crotone,6,Atalanta,1:2,Available,0,0,0,False,False,False,46,,45,False,False,5.5,5.5,0,0,False,False,2,True
7,08/nov/2020,5,Atalanta,6,Inter,1:1,Available,0,0,0,False,False,False,,73,73,False,True,5.0,5.0,0,0,True,False,3,False
8,21/nov/2020,13,Spezia,6,Atalanta,0:0,Available,0,0,0,False,False,False,,67,67,False,False,5.5,5.5,0,0,True,False,2,True
9,28/nov/2020,7,Atalanta,9,Verona,0:2,Available,0,0,0,False,False,False,,62,62,False,True,5.5,5.5,0,0,True,False,2,True
10,20/gen/2021,13,Udinese,8,Atalanta,1:1,Available,0,0,0,False,False,False,58,,32,False,False,6.0,,0,0,False,True,2,True
11,13/dic/2020,9,Atalanta,17,Fiorentina,3:0,Available,0,1,0,False,False,False,,81,81,False,True,8.0,7.0,0,0,True,False,2,True
12,16/dic/2020,4,Juventus,8,Atalanta,1:1,Available,0,0,0,False,False,False,,71,71,False,False,5.5,5.5,0,0,True,False,4,True
13,20/dic/2020,7,Atalanta,5,Roma,4:1,Available,1,0,0,False,False,False,,71,71,False,True,10.5,7.5,0,0,True,False,3,True
14,23/dic/2020,14,Bologna,7,Atalanta,2:2,Available,0,0,0,False,False,False,65,,25,False,False,5.5,5.5,0,0,False,False,2,False
15,03/gen/2021,7,Atalanta,5,Sassuolo,5:1,Available,2,1,0,False,False,False,,84,84,False,True,13.5,7.5,0,0,True,False,2,True
16,06/gen/2021,6,Atalanta,16,Parma,3:0,Available,1,1,0,False,False,False,46,,45,False,True,10.5,7.5,0,0,False,False,1,True
17,09/gen/2021,10,Benevento,5,Atalanta,1:4,Available,1,0,0,False,False,False,,73,73,False,False,10.5,7.5,0,0,True,False,2,True
18,17/gen/2021,5,Atalanta,17,Genoa,0:0,Available,0,0,0,False,False,False,,57,57,False,True,5.0,5.0,0,0,True,False,1,False
19,23/gen/2021,1,Milan,6,Atalanta,0:3,Available,1,0,0,False,False,False,,,90,False,False,10.5,7.5,0,0,True,False,4,True
20,31/gen/2021,5,Atalanta,7,Lazio,1:3,Available,0,0,0,False,False,False,,54,54,False,True,5.5,5.5,0,0,True,False,3,True
21,06/feb/2021,7,Atalanta,17,Torino,3:3,Available,0,0,0,False,False,False,58,,32,False,True,5.0,5.0,0,0,False,False,1,False
22,14/feb/2021,18,Cagliari,7,Atalanta,0:1,Available,0,0,0,False,False,False,,85,85,False,False,6.5,6.5,0,0,True,False,2,True
23,21/feb/2021,6,Atalanta,5,Napoli,4:2,Available,1,1,0,False,False,False,,90,90,False,True,11.5,7.5,0,0,True,False,3,True
24,28/feb/2021,10,Sampdoria,5,Atalanta,0:2,Contrattura,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
25,03/mar/2021,4,Atalanta,20,Crotone,5:1,Available,0,1,0,False,False,False,69,,21,False,True,7.5,6.5,0,0,False,False,1,True
26,08/mar/2021,1,Inter,4,Atalanta,1:0,Available,0,0,0,False,False,False,,70,70,False,False,6.0,6.0,0,0,True,False,4,True
27,12/mar/2021,5,Atalanta,15,Spezia,3:1,Available,0,1,0,False,False,False,66,,24,False,True,7.0,6.0,0,0,False,False,2,True
28,21/mar/2021,9,Verona,4,Atalanta,0:2,Available,1,0,0,False,False,False,,77,77,False,False,10.0,7.0,0,0,True,False,3,True
29,03/apr/2021,4,Atalanta,12,Udinese,3:2,Available,1,0,0,False,False,False,,85,85,False,True,9.0,6.0,0,0,True,False,2,True
30,11/apr/2021,14,Fiorentina,4,Atalanta,2:3,Available,2,0,0,False,False,False,,86,86,False,False,13.0,7.0,0,0,True,False,2,True
