matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,19/set/2020,16,Fiorentina,15,Torino,1:0,Available,0,0,0,False,False,False,,,90,False,False,4.5,4.5,0,0,True,False,4,False
2,26/set/2020,12,Torino,2,Atalanta,2:4,Available,0,0,0,True,False,False,,75,75,False,True,4.5,5.0,0,0,True,False,4,False
3,04/nov/2020,13,Genoa,16,Torino,1:2,Problema fisico,0,0,0,False,False,False,,,0,False,False,6.0,,0,0,False,True,3,False
4,18/ott/2020,13,Torino,18,Cagliari,2:3,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
5,23/ott/2020,2,Sassuolo,17,Torino,3:3,Problema fisico,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,4,False
6,01/nov/2020,15,Torino,12,Lazio,3:4,Problema fisico,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
7,08/nov/2020,18,Torino,20,Crotone,0:0,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
8,22/nov/2020,7,Inter,17,Torino,4:2,Available,1,0,0,False,False,False,,90,90,False,False,9.5,6.5,0,0,True,False,5,True
9,30/nov/2020,18,Torino,10,Sampdoria,2:2,Available,0,0,0,False,False,False,,,90,False,True,6.0,6.0,0,0,True,False,4,False
10,05/dic/2020,5,Juventus,18,Torino,2:1,Available,0,0,0,False,False,False,,74,74,False,False,4.5,4.5,0,0,True,False,5,False
11,12/dic/2020,18,Torino,13,Udinese,2:3,Available,0,0,0,False,False,False,,46,45,False,True,4.0,4.0,0,0,True,False,3,False
12,17/dic/2020,6,Roma,18,Torino,3:1,Affaticamento muscolare,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
13,20/dic/2020,19,Torino,13,Bologna,1:1,in panchina,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,3,False
14,23/dic/2020,4,Napoli,18,Torino,1:1,Available,0,0,0,False,False,False,88,,2,False,False,,,0,0,False,False,5,False
15,03/gen/2021,16,Parma,20,Torino,0:3,in panchina,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
16,06/gen/2021,17,Torino,8,Verona,1:1,non convocato,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
17,09/gen/2021,1,Milan,17,Torino,2:0,Available,0,0,0,False,False,False,64,,26,False,False,5.5,5.5,0,0,False,False,5,False
18,16/gen/2021,18,Torino,15,Spezia,0:0,Available,0,0,0,False,False,False,46,,45,False,True,5.0,5.0,0,0,False,False,3,False
19,22/gen/2021,11,Benevento,18,Torino,2:2,Available,2,0,0,True,False,False,,,90,False,False,13.0,7.5,0,0,True,False,4,True
20,29/gen/2021,17,Torino,12,Fiorentina,1:1,Available,0,0,0,False,False,False,,,90,False,True,5.0,5.0,0,0,True,False,3,False
21,06/feb/2021,7,Atalanta,17,Torino,3:3,Available,0,0,0,True,False,False,,81,81,False,False,6.0,6.5,0,0,True,False,5,False
22,13/feb/2021,17,Torino,12,Genoa,0:0,Available,0,0,0,False,False,False,,71,71,False,True,5.0,5.0,0,0,True,False,3,False
23,19/feb/2021,18,Cagliari,17,Torino,0:1,Available,0,0,0,False,False,False,,78,78,False,False,5.0,5.0,0,0,True,False,3,False
24,17/mar/2021,17,Torino,8,Sassuolo,3:2,Available,2,0,0,False,False,False,72,,18,False,True,6.0,,0,0,False,True,4,False
26,07/mar/2021,20,Crotone,17,Torino,4:2,Available,0,0,0,False,False,False,,65,65,False,False,4.0,4.0,0,0,True,False,3,False
27,14/mar/2021,17,Torino,1,Inter,1:2,Available,0,0,0,False,False,False,67,,23,False,True,6.0,6.0,0,0,False,False,5,False
28,21/mar/2021,11,Sampdoria,17,Torino,1:0,Available,0,0,0,False,False,False,59,,31,False,False,6.0,6.0,0,0,False,False,4,False
29,03/apr/2021,17,Torino,3,Juventus,2:2,Available,0,0,0,False,False,False,72,,18,False,True,6.0,6.0,0,0,False,False,5,False
30,10/apr/2021,12,Udinese,17,Torino,0:1,Available,0,0,0,True,False,False,64,,26,False,False,5.5,6.0,0,0,False,False,4,False
