matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,unavailable,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes
2,"Sep 26, 2020",10,Cagliari Calcio,18,Lazio,0:2,Available,1,0,0,False,False,False,,,90
1,"Sep 30, 2020",7,Lazio,4,Atalanta BC,1:4,Available,0,0,0,True,False,False,,,90
3,"Oct 4, 2020",10,Lazio,3,Inter,1:1,Available,0,0,0,False,False,True,,,69
4,"Oct 17, 2020",14,Sampdoria,9,Lazio,3:0,Red card suspension,0,0,0,False,False,False,,,0
5,"Oct 24, 2020",15,Lazio,16,Bologna,2:1,Available,1,0,0,False,False,False,,,90
6,"Nov 1, 2020",15,Torino,11,Lazio,3:4,Available,1,0,0,True,False,False,57,,33
7,"Nov 8, 2020",9,Lazio,10,Juventus,1:1,Corona virus,0,0,0,False,False,False,,,0
8,"Nov 21, 2020",20,Crotone,8,Lazio,0:2,Available,1,1,0,False,False,False,,75,75
9,"Nov 29, 2020",7,Lazio,16,Udinese Calcio,1:3,Available,1,0,0,False,False,False,,,90
10,"Dec 5, 2020",14,Spezia Calcio,9,Lazio,1:2,Available,1,0,0,False,False,False,,59,59
11,"Dec 12, 2020",7,Lazio,8,Hellas Verona,1:2,Available,0,0,0,False,False,False,,,90
12,"Dec 15, 2020",15,Benevento,9,Lazio,1:1,Available,1,0,0,False,False,False,,,90
13,"Dec 20, 2020",9,Lazio,3,SSC Napoli,2:0,Available,1,1,0,True,False,False,,79,79
14,"Dec 23, 2020",1,AC Milan,8,Lazio,3:2,Available,1,0,0,False,False,False,,74,74
15,"Jan 3, 2021",18,Genoa,8,Lazio,1:1,Available,1,0,0,False,False,False,,,90
16,"Jan 6, 2021",9,Lazio,14,Fiorentina,2:1,Available,1,0,0,False,False,False,,89,89
17,"Jan 10, 2021",18,Parma,8,Lazio,0:2,Available,0,0,0,False,False,False,,,90
18,"Jan 15, 2021",8,Lazio,3,AS Roma,3:0,Available,1,0,0,False,False,False,,83,83
19,"Jan 24, 2021",7,Lazio,8,Sassuolo,2:1,Available,1,0,0,False,False,False,,86,86
20,"Jan 31, 2021",4,Atalanta BC,7,Lazio,1:3,Available,0,1,0,False,False,False,,80,80
21,"Feb 7, 2021",6,Lazio,18,Cagliari Calcio,1:0,Available,1,0,0,False,False,False,,,90
22,"Feb 14, 2021",2,Inter,5,Lazio,3:1,Available,0,0,0,False,False,False,,70,70
23,"Feb 20, 2021",7,Lazio,10,Sampdoria,1:0,Available,0,0,0,False,False,False,,86,86
24,"Feb 27, 2021",12,Bologna,6,Lazio,2:0,Available,0,0,0,False,False,False,,65,65
26,"Mar 6, 2021",4,Juventus,7,Lazio,3:1,Available,0,0,0,False,False,False,,82,82
27,"Mar 12, 2021",7,Lazio,20,Crotone,3:2,Available,0,1,0,False,False,False,,76,76
